config,sex,age,body_type,load_kg,motion,lumbar_bio_peak,lumbar_loaded_peak,shoulder_bio_peak,shoulder_total_peak,elbow_bio_peak,elbow_total_peak
no_suit,female,senior,avg,20,neutral_stoop_down_R_002__A076,152.12872254,152.12872254,42.331937875,42.331937875,53.44101709500001,53.44101709500001
no_suit,female,senior,avg,20,neutral_stoop_down_R_001__A077,173.12533725,173.12533725,54.148973475,54.148973475,57.88354231,57.88354231
no_suit,female,senior,avg,20,neutral_stoop_down_R_001__A078,119.23113302,119.23113302,36.673412285,36.673412285,51.998638715000006,51.998638715000006
no_suit,female,senior,avg,20,neutral_stoop_down_R_001__A080,124.86266309000001,124.86266309000001,44.248398105,44.248398105,53.034685870000004,53.034685870000004
no_suit,female,senior,avg,20,neutral_stoop_down_R_001__A081,117.51945599,117.51945599,36.596799634999996,36.596799634999996,51.693497225,51.693497225
no_suit,female,senior,avg,20,neutral_stoop_down_R_002__A082,117.82350887,117.82350887,42.48114329,42.48114329,53.070322365,53.070322365
no_suit,female,senior,avg,30,neutral_stoop_down_R_002__A073,224.61799292,224.61799292,59.96428641,59.96428641,77.755395855,77.755395855
no_suit,female,senior,avg,30,neutral_stoop_down_R_002__A079,130.3749,130.3749,56.74046115,56.74046115,77.23916674,77.23916674
no_suit,female,senior,avg,30,neutral_stoop_down_R_002__A074,176.10422404,176.10422404,55.70621565500001,55.70621565500001,77.412731615,77.412731615
no_suit,female,senior,avg,30,neutral_stoop_down_R_002__A075,203.12304507,203.12304507,52.368004495,52.368004495,76.277349285,76.277349285
no_suit,female,senior,avg,30,neutral_stoop_down_R_002__A076,195.58702254,195.58702254,57.046937875000005,57.046937875000005,77.966017095,77.966017095
no_suit,female,senior,avg,30,neutral_stoop_down_R_001__A077,216.58363724999998,216.58363724999998,68.863973475,68.863973475,82.40854231,82.40854231
no_suit,female,senior,avg,30,neutral_stoop_down_R_001__A078,162.68943302,162.68943302,51.388412285,51.388412285,76.523638715,76.523638715
no_suit,female,senior,avg,30,neutral_stoop_down_R_001__A080,168.32096309,168.32096309,58.963398105,58.963398105,77.55968587000001,77.55968587000001
no_suit,female,senior,avg,30,neutral_stoop_down_R_001__A081,160.97775599,160.97775599,51.311799635,51.311799635,76.21849722500001,76.21849722500001
no_suit,female,senior,avg,30,neutral_stoop_down_R_002__A082,161.28180887,161.28180887,57.19614329,57.19614329,77.595322365,77.595322365
no_suit,female,senior,heavy,10,neutral_stoop_down_R_002__A073,143.18037551,143.18037551,32.40199108,32.40199108,29.187413915,29.187413915
no_suit,female,senior,heavy,10,neutral_stoop_down_R_002__A079,43.4583,43.4583,28.779721665,28.779721665,28.605337745000003,28.605337745000003
no_suit,female,senior,heavy,10,neutral_stoop_down_R_002__A074,92.63909858,92.63909858,27.617861835,27.617861835,28.806991250000003,28.806991250000003
no_suit,female,senior,heavy,10,neutral_stoop_down_R_002__A075,118.36701627,118.36701627,23.87933719,23.87933719,27.550477545000003,27.550477545000003
no_suit,female,senior,heavy,10,neutral_stoop_down_R_002__A076,112.93311437,112.93311437,29.109624625000002,29.109624625000002,29.428483905,29.428483905
no_suit,female,senior,heavy,10,neutral_stoop_down_R_001__A077,135.57968531,135.57968531,42.283707355000004,42.283707355000004,34.380089615,34.380089615
no_suit,female,senior,heavy,10,neutral_stoop_down_R_001__A078,76.86942347,76.86942347,22.80993414,22.80993414,27.814514100000004,27.814514100000004
no_suit,female,senior,heavy,10,neutral_stoop_down_R_001__A080,82.69735541,82.69735541,31.23234181,31.23234181,28.957715970000002,28.957715970000002
no_suit,female,senior,heavy,10,neutral_stoop_down_R_001__A081,72.53355443000001,72.53355443000001,22.713438615,22.713438615,27.4833138,27.4833138
no_suit,female,senior,heavy,10,neutral_stoop_down_R_002__A082,80.8720161,80.8720161,29.25483368,29.25483368,29.011322680000003,29.011322680000003
no_suit,female,senior,heavy,20,neutral_stoop_down_R_002__A073,186.63867550999998,186.63867550999998,47.11699108,47.11699108,53.712413915000006,53.712413915000006
no_suit,female,senior,heavy,20,neutral_stoop_down_R_002__A079,86.9166,86.9166,43.494721665,43.494721665,53.130337745000006,53.130337745000006
no_suit,female,senior,heavy,20,neutral_stoop_down_R_002__A074,136.09739858,136.09739858,42.332861835,42.332861835,53.33199125,53.33199125
no_suit,female,senior,heavy,20,neutral_stoop_down_R_002__A075,161.82531627,161.82531627,38.59433719,38.59433719,52.075477545000005,52.075477545000005
